text,label,category
The logging interface keeps freezing whenever I query more than seven days of data.,0,Negative Feedback
Terrible experience with the latest API patch; it broke our authentication flow.,0,Negative Feedback
"The container orchestration UI is confusing, cluttered, and unintuitive.",0,Negative Feedback
We are experiencing very slow query performance after the recent database migration.,0,Negative Feedback
I am extremely frustrated with the unexplained latency spikes in our US-East region.,0,Negative Feedback
Your system documentation is outdated and missing crucial configuration steps.,0,Negative Feedback
Complete waste of money; the auto-scaler failed to trigger during peak traffic.,0,Negative Feedback
Why does the CLI tool crash every time we attempt a multi-region deployment?,0,Negative Feedback
The error messages are completely unhelpful and make debugging impossible.,0,Negative Feedback
I want a full refund for our subscription this month due to constant instability.,0,Negative Feedback
"Oh great, another crash right in the middle of our production deployment.",0,Negative Feedback
Fantastic job breaking our system workflow with your latest patch.,0,Negative Feedback
Everything is just wonderful when the servers go down every single hour.,0,Negative Feedback
Super job making the user interface even slower than before.,0,Negative Feedback
Thanks a lot for deleting my saved dashboard configurations without warning.,0,Negative Feedback
The new deployment pipeline is lightning fast and saved our team hours!,1,Positive Feedback
"Excellent uptime this month, our production servers haven't dropped once.",1,Positive Feedback
Your technical support engineer resolved our API routing issue immediately.,1,Positive Feedback
Five stars for the new dashboard monitoring metrics' super clean layout.,1,Positive Feedback
Incredible performance boost after upgrading to the enterprise tier.,1,Positive Feedback
I love the automated backup feature; it works seamlessly in the background.,1,Positive Feedback
"Great documentation on Kubernetes cluster integration, very easy to follow.",1,Positive Feedback
"Thank you for the quick feature release, this solves our exact workflow bottleneck.",1,Positive Feedback
Super smooth onboarding process for our junior developers.,1,Positive Feedback
Best cloud infrastructure management tool we have used all year.,1,Positive Feedback
"I usually expect enterprise deployments to crash, but your platform has been flawlessly stable.",1,Positive Feedback
"Even during our critical peak traffic emergency, the auto-scaler handled everything perfectly without breaking a sweat.",1,Positive Feedback
"The old legacy system was a complete nightmare, but transitioning to your new API is an absolute dream.",1,Positive Feedback
I'm genuinely shocked that a massive database migration could actually go off without a single error or failure.,1,Positive Feedback
"Despite the awful network outage on our end, your redundant backup system didn't lose a single byte of our data. Amazing job!",1,Positive Feedback
CRITICAL: Our production database is down and we need immediate help!,2,Urgent Support
I cannot access our admin console and our quarterly deployment deadline is today.,2,Urgent Support
Urgent! Our SSL certificates failed to renew and our primary domain is unreachable.,2,Urgent Support
System down! Need immediate emergency intervention from level 3 tech support.,2,Urgent Support
"We are locked out of our primary AWS billing dashboard, please help ASAP.",2,Urgent Support
Payment processing failed on our checkout page due to an endpoint timeout. Help now!,2,Urgent Support
EMERGENCY: Our storage bucket is showing unauthorized access attempts.,2,Urgent Support
All microservices are failing health checks after the automatic update.,2,Urgent Support
Please escalate immediately: our webhook integration has completely stopped firing.,2,Urgent Support
Our production cluster is unreachable and customers are actively complaining.,2,Urgent Support
It's just wonderful that our primary database decided to delete itself 10 minutes before the product launch. Escalate this immediately.,2,Urgent Support
I would greatly appreciate it if someone could look into the total and complete loss of server access we are experiencing right now.,2,Urgent Support
"The new update is great, except it completely locked us out of the admin panel and we can no longer process customer payments.",2,Urgent Support
Everything was working perfectly until the screen went black and now zero traffic is routing to our production endpoints. SOS.,2,Urgent Support
"Hey, quick question: is it normal for the entire Kubernetes cluster to go completely offline and refuse all connections? We need a fix ASAP.",2,Urgent Support
"Oh brilliant, another server outage right when I need to deploy.",0,Negative Feedback
I absolutely love it when the API just decides to take a coffee break.,0,Negative Feedback
Your upgraded dashboard is a masterclass in how to hide basic features.,0,Negative Feedback
It is truly impressive how you managed to make the software even slower.,0,Negative Feedback
"Thanks for the update, it successfully broke my entire authentication flow.",0,Negative Feedback
The new UI is so intuitive that I now need a map to find the logout button.,0,Negative Feedback
Nothing says enterprise-grade like random 500 errors every afternoon.,0,Negative Feedback
I am thrilled that your load balancer just drops connections for fun.,0,Negative Feedback
"Wow, your documentation is as helpful as a screen door on a submarine.",0,Negative Feedback
"Great job on the patch, I didn't want to access my data today anyway.",0,Negative Feedback
I really enjoy paying premium prices for a service that works half the time.,0,Negative Feedback
The latency is so bad I can actually see the pixels aging.,0,Negative Feedback
"Sure, just randomly change the API endpoints without versioning, that's fine.",0,Negative Feedback
My favorite feature is how the container orchestration UI freezes constantly.,0,Negative Feedback
"Thanks for the memory leak, my server's RAM really needed a workout.",0,Negative Feedback
I love paying for a SaaS product that acts like it is still in alpha.,0,Negative Feedback
Your search function is great if I wanted results from a completely different database.,0,Negative Feedback
"Fantastic, the export feature just downloads a corrupted file. Very helpful.",0,Negative Feedback
I am amazed at how complicated you made a simple password reset.,0,Negative Feedback
The auto-save feature is a fun game of will it or won't it keep my work.,0,Negative Feedback
Nothing like waking up to a completely redesigned layout that no one asked for.,0,Negative Feedback
Your mobile app crashes more often than it opens. Keep up the good work.,0,Negative Feedback
I didn't realize real-time sync actually meant maybe tomorrow sync.,0,Negative Feedback
Your customer support bot is incredibly skilled at ignoring my actual problem.,0,Negative Feedback
"Wow, a whole 5 seconds to load a plain text page. Groundbreaking speed.",0,Negative Feedback
"I appreciate the daily downtime, really helps me practice my meditation.",0,Negative Feedback
So glad the billing page works perfectly while the actual software is down.,0,Negative Feedback
"The data export is missing half the columns, which is a fun surprise.",0,Negative Feedback
I am continually impressed by your ability to introduce new bugs with every fix.,0,Negative Feedback
The dark mode is great if you enjoy illegible gray text on a black background.,0,Negative Feedback
Your seamless integration requires a Ph.D. and three third-party tools.,0,Negative Feedback
The notification system is fantastic at alerting me 24 hours late.,0,Negative Feedback
I love that I have to clear my cache every time I want to use your platform.,0,Negative Feedback
The reporting tool is basically a random number generator at this point.,0,Negative Feedback
Thank you for removing the one feature that made this software useful.,0,Negative Feedback
Your cloud storage is more like a black hole where my files disappear.,0,Negative Feedback
